"individual_id","household_id","ea_id","rural","pw","saq01","saq02","saq03","saq06","saq07","saq08","hh_s3q00","saq04","saq05","hh_s3q01","hh_s3q02","hh_s3q03","hh_s3q04","hh_s3q05","hh_s3q06","hh_s3q07","hh_s3q08","hh_s3q09","hh_s3q10","hh_s3q11a","hh_s3q11b","hh_s3q11c","hh_s3q11d","hh_s3q11e","hh_s3q11f","hh_s3q12","hh_s3q13","hh_s3q14","hh_s3q15","hh_s3q16","hh_s3q17","hh_s3q18","hh_s3q19","hh_s3q20","hh_s3q21_a","hh_s3q21_b","hh_s3q21_c","hh_s3q22","hh_s3q23","hh_s3q24"
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,1,1,1,16,1,116,1,8,88,1,1,3,1,2,,1,5,1,2,,,,,,,2,1,1,1,1,1,1,2,2,,,,,,
"0101010160111602","01010101601116","01010101601",1,2236.13452148438,1,1,1,16,1,116,2,8,88,1,1,8,1,5,,1,4,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160111603","01010101601116","01010101601",1,2236.13452148438,1,1,1,16,1,116,3,8,88,1,1,7,1,5,,1,3,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160111604","01010101601116","01010101601",1,2236.13452148438,1,1,1,16,1,116,4,8,88,1,1,3,1,5,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160113101","01010101601131","01010101601",1,2236.13452148438,1,1,1,16,1,131,1,8,88,2,,,2,,1,1,3,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160114601","01010101601146","01010101601",1,2236.13452148438,1,1,1,16,1,146,1,8,88,1,7,3,1,5,,1,1,2,,,,,,,,3,1,1,1,1,1,1,4,2,,,,,,
"0101010160114602","01010101601146","01010101601",1,2236.13452148438,1,1,1,16,1,146,2,8,88,2,,,2,,1,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160116201","01010101601162","01010101601",1,1887.64611816406,1,1,1,16,1,162,1,8,88,1,1,15,1,2,,1,6,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160116202","01010101601162","01010101601",1,1887.64611816406,1,1,1,16,1,162,2,8,88,1,1,4,1,2,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,1,1,2,14,3,1,1,8,88,1,1,15,1,3,,1,3,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140300102","01010201403001","01010201403",1,2607.7529296875,1,1,2,14,3,1,2,8,88,2,,,1,3,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140300103","01010201403001","01010201403",1,2607.7529296875,1,1,2,14,3,1,3,8,88,2,,,1,3,,1,3,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140300104","01010201403001","01010201403",1,2607.7529296875,1,1,2,14,3,1,4,8,88,2,,,1,3,,1,3,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140300105","01010201403001","01010201403",1,2607.7529296875,1,1,2,14,3,1,5,8,88,1,1,7,1,3,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140300106","01010201403001","01010201403",1,2607.7529296875,1,1,2,14,3,1,6,8,88,2,,,1,3,,1,5,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140300107","01010201403001","01010201403",1,2607.7529296875,1,1,2,14,3,1,7,8,88,2,,,1,3,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140300108","01010201403001","01010201403",1,2607.7529296875,1,1,2,14,3,1,8,8,88,2,,,1,3,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140300109","01010201403001","01010201403",1,2607.7529296875,1,1,2,14,3,1,9,8,88,1,9,7,2,,8,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,1,2,14,3,11,1,8,88,1,1,5,2,,6,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140301102","01010201403011","01010201403",1,2607.7529296875,1,1,2,14,3,11,2,8,88,2,,,2,,7,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140301103","01010201403011","01010201403",1,2607.7529296875,1,1,2,14,3,11,3,8,88,1,2,3,1,8,,1,1,2,,,,,,,,1,2,1,1,1,1,1,2,2,,,,,,
"0101020140301104","01010201403011","01010201403",1,2607.7529296875,1,1,2,14,3,11,4,8,88,2,,,2,,7,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140301105","01010201403011","01010201403",1,2607.7529296875,1,1,2,14,3,11,5,8,88,2,,,2,,7,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140301601","01010201403016","01010201403",1,2607.7529296875,1,1,2,14,3,16,1,8,88,1,1,7,2,,1,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140301602","01010201403016","01010201403",1,2607.7529296875,1,1,2,14,3,16,2,8,88,1,1,15,2,,1,1,1,2,,,,,,,,2,1,1,1,1,1,1,1,2,,,,,,
"0101020140301603","01010201403016","01010201403",1,2607.7529296875,1,1,2,14,3,16,3,8,88,2,,,2,,1,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140301604","01010201403016","01010201403",1,2607.7529296875,1,1,2,14,3,16,4,8,88,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140301605","01010201403016","01010201403",1,2607.7529296875,1,1,2,14,3,16,5,8,88,1,1,5,1,2,,1,3,2,,,,,,,,1,1,1,1,1,1,2,,1,7,11,2001,13,94.5,1
"0101020140301606","01010201403016","01010201403",1,2607.7529296875,1,1,2,14,3,16,6,8,88,1,1,2,2,,8,1,1,2,,,,,,,,1,1,1,1,1,1,2,,1,24,2,2003,10,75.5,1
"0101020140302601","01010201403026","01010201403",1,2607.7529296875,1,1,2,14,3,26,1,8,88,2,,,2,,1,2,,,,,,,,,,2,1,1,1,1,1,1,,2,,,,,,
"0101020140303101","01010201403031","01010201403",1,2607.7529296875,1,1,2,14,3,31,1,8,88,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140303102","01010201403031","01010201403",1,2607.7529296875,1,1,2,14,3,31,2,8,88,1,1,7,1,2,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140303103","01010201403031","01010201403",1,2607.7529296875,1,1,2,14,3,31,3,8,88,1,1,3,1,2,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140303104","01010201403031","01010201403",1,2607.7529296875,1,1,2,14,3,31,4,8,88,1,1,3,1,2,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140303105","01010201403031","01010201403",1,2607.7529296875,1,1,2,14,3,31,5,8,88,1,1,3,1,2,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140303106","01010201403031","01010201403",1,2607.7529296875,1,1,2,14,3,31,6,8,88,1,1,3,1,2,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140303107","01010201403031","01010201403",1,2607.7529296875,1,1,2,14,3,31,7,8,88,1,1,2,1,2,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140303601","01010201403036","01010201403",1,2607.7529296875,1,1,2,14,3,36,1,8,88,1,1,2,1,2,,1,5,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140303602","01010201403036","01010201403",1,2607.7529296875,1,1,2,14,3,36,2,8,88,1,1,0,2,,8,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140303603","01010201403036","01010201403",1,2607.7529296875,1,1,2,14,3,36,3,8,88,2,,,2,,8,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140303604","01010201403036","01010201403",1,2607.7529296875,1,1,2,14,3,36,4,8,88,1,1,4,1,2,,1,4,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140303605","01010201403036","01010201403",1,2607.7529296875,1,1,2,14,3,36,5,8,88,1,2,1,2,,8,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140303606","01010201403036","01010201403",1,2607.7529296875,1,1,2,14,3,36,6,8,88,1,9,3,2,,8,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140303607","01010201403036","01010201403",1,2607.7529296875,1,1,2,14,3,36,7,8,88,1,9,2,2,,8,1,1,2,,,,,,,,1,1,1,1,1,1,2,,1,27,3,2000,13.5,971,1
"0101020140303608","01010201403036","01010201403",1,2607.7529296875,1,1,2,14,3,36,8,8,88,1,1,7,1,2,,1,3,2,,,,,,,,1,1,1,1,1,1,2,,1,2,4,2003,7.09999990463257,64.5,1
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,8,88,1,1,0,1,2,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140304602","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,2,8,88,1,4,6,1,2,,1,6,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140304603","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,3,8,88,1,1,3,1,2,,1,4,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140304604","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,4,8,88,1,1,6,1,2,,1,5,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140304605","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,5,8,88,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140304606","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,6,8,88,1,1,2,1,2,,1,3,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140304607","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,7,8,88,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140304608","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,8,8,88,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140304609","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,9,8,88,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140304610","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,10,8,88,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,1,8,88,1,1,3,1,2,,1,1,2,,,,,,,,2,1,1,1,1,1,1,2,2,,,,,,
"0101020140306102","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,2,8,88,1,7,2,1,2,,1,3,2,,,,,,,,2,1,1,1,1,1,1,1,2,,,,,,
"0101020140306103","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,3,8,88,1,1,3,1,2,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140306104","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,4,8,88,1,1,7,1,2,,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140306105","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,5,8,88,1,1,15,1,2,,1,4,2,,,,,,,,2,1,1,1,1,1,1,,2,,,,,,
"0101020140306106","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,6,8,88,1,1,3,1,2,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140306107","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,7,8,88,1,1,3,1,2,,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,1,8,88,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140309102","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,2,8,88,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140309103","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,3,8,88,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140309104","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,4,8,88,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140309105","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,5,8,88,2,,,1,5,,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140309106","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,6,8,88,2,,,2,,8,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140309107","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,7,8,88,2,,,2,,8,1,1,2,,,,,,,,1,1,1,1,1,1,2,,1,7,7,2001,12.8000001907349,91,1
"0101020140309108","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,8,8,88,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,4,1,,2,,,,,,
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,1,1,2,14,3,106,1,8,88,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140310602","01010201403106","01010201403",1,2607.7529296875,1,1,2,14,3,106,2,8,88,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140310603","01010201403106","01010201403",1,2607.7529296875,1,1,2,14,3,106,3,8,88,2,,,2,,8,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140310604","01010201403106","01010201403",1,2607.7529296875,1,1,2,14,3,106,4,8,88,2,,,2,,8,1,2,2,,,,,,,,1,1,1,1,1,1,2,,1,7,11,2002,10.8999996185303,77,1
"0101020140312101","01010201403121","01010201403",1,2607.7529296875,1,1,2,14,3,121,1,8,88,1,9,60,1,2,,1,5,1,2,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140312102","01010201403121","01010201403",1,2607.7529296875,1,1,2,14,3,121,2,8,88,1,1,7,1,2,,1,6,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140312103","01010201403121","01010201403",1,2607.7529296875,1,1,2,14,3,121,3,8,88,1,9,15,2,,8,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140312104","01010201403121","01010201403",1,2607.7529296875,1,1,2,14,3,121,4,8,88,1,1,7,1,2,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140312105","01010201403121","01010201403",1,2607.7529296875,1,1,2,14,3,121,5,8,88,1,1,15,1,2,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140312106","01010201403121","01010201403",1,2607.7529296875,1,1,2,14,3,121,6,8,88,1,9,7,2,,3,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140312107","01010201403121","01010201403",1,2607.7529296875,1,1,2,14,3,121,7,8,88,1,9,15,2,,8,1,3,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101020140313601","01010201403136","01010201403",1,2607.7529296875,1,1,2,14,3,136,1,8,88,1,9,30,2,,1,1,1,1,2,,,,,,,2,1,2,1,1,1,1,2,2,,,,,,
"0101020140313602","01010201403136","01010201403",1,2607.7529296875,1,1,2,14,3,136,2,8,88,2,,,2,,1,2,,2,,,,,,,,1,1,1,1,1,1,2,,1,17,12,2000,11.5,87,1
"0101030010600401","01010300106004","01010300106",0,768.159851074219,1,1,3,1,6,4,1,1,1,1,1,15,1,2,,1,3,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101030010600402","01010300106004","01010300106",0,768.159851074219,1,1,3,1,6,4,2,1,1,1,7,2,1,2,,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101030010600403","01010300106004","01010300106",0,768.159851074219,1,1,3,1,6,4,3,1,1,2,,,2,,7,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101030010601601","01010300106016","01010300106",0,768.159851074219,1,1,3,1,6,16,1,1,1,1,1,1,1,2,,1,3,2,,,,,,,,2,1,1,2,1,1,1,1,2,,,,,,
"0101030010601602","01010300106016","01010300106",0,768.159851074219,1,1,3,1,6,16,2,1,1,2,,,2,,7,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101030010601603","01010300106016","01010300106",0,768.159851074219,1,1,3,1,6,16,3,1,1,1,7,3,1,2,,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101030010602801","01010300106028","01010300106",0,768.159851074219,1,1,3,1,6,28,1,1,1,2,,,2,,7,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101030010604001","01010300106040","01010300106",0,768.159851074219,1,1,3,1,6,40,1,1,1,1,1,30,1,6,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101030010604002","01010300106040","01010300106",0,768.159851074219,1,1,3,1,6,40,2,1,1,2,,,1,2,,1,4,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101030010604003","01010300106040","01010300106",0,768.159851074219,1,1,3,1,6,40,3,1,1,2,,,2,,7,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101030010605201","01010300106052","01010300106",0,768.159851074219,1,1,3,1,6,52,1,1,1,2,,,2,,7,2,,2,,,,,,,,1,1,2,1,1,1,1,4,2,,,,,,
"0101030010605202","01010300106052","01010300106",0,768.159851074219,1,1,3,1,6,52,2,1,1,2,,,2,,7,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101030010605203","01010300106052","01010300106",0,768.159851074219,1,1,3,1,6,52,3,1,1,2,,,2,,7,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101030010605204","01010300106052","01010300106",0,768.159851074219,1,1,3,1,6,52,4,1,1,1,8,30,1,1,,1,10,1,2,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101030010606401","01010300106064","01010300106",0,768.159851074219,1,1,3,1,6,64,1,1,1,1,9,7,1,2,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101030010606402","01010300106064","01010300106",0,768.159851074219,1,1,3,1,6,64,2,1,1,2,,,2,,7,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101030010606403","01010300106064","01010300106",0,768.159851074219,1,1,3,1,6,64,3,1,1,2,,,2,,7,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101030010606404","01010300106064","01010300106",0,768.159851074219,1,1,3,1,6,64,4,1,1,2,,,2,,7,1,3,2,,,,,,,,1,1,1,1,1,1,2,,1,13,6,2002,12.8000001907349,88,1
"0101030010607601","01010300106076","01010300106",0,768.159851074219,1,1,3,1,6,76,1,1,1,1,9,60,1,2,,1,1,1,2,,,,,,,2,3,4,2,1,1,1,1,2,,,,,,
"0101030010607602","01010300106076","01010300106",0,768.159851074219,1,1,3,1,6,76,2,1,1,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101030010607603","01010300106076","01010300106",0,768.159851074219,1,1,3,1,6,76,3,1,1,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101030010607604","01010300106076","01010300106",0,768.159851074219,1,1,3,1,6,76,4,1,1,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
